minmax,z_score,Age,discretise,Gender,binary,equi-width-bin1,equi-width-bin2,equi-width-bin3,equi-depth-bin1,equi-depth-bin2,equi-depth-bin3
0.475,-0.047,36,mid_age,M,0,17,30,42,17,30,43
0.925,1.639,54,mid_age,F,1,17,30,42,17,30,43
0.025,-1.733,18,young,F,1,17,30,42,17,30,43
0.900,1.545,53,mid_age,F,1,17,30,42,17,30,43
0.350,-0.516,31,young,F,1,17,30,42,17,30,43
0.750,0.983,47,mid_age,F,1,17,30,42,17,30,43
0.075,-1.546,20,young,F,1,17,30,42,17,30,43
0.825,1.264,50,mid_age,F,1,17,30,42,17,30,43
0.600,0.421,41,mid_age,F,1,17,30,42,17,30,43
0.275,-0.797,28,young,F,1,18,30,42,18,30,43
0.375,-0.422,32,young,F,1,18,30,42,18,30,43
0.075,-1.546,20,young,F,1,18,30,42,18,30,43
0.825,1.264,50,mid_age,F,1,18,30,42,18,30,43
0.275,-0.797,28,young,M,0,18,30,42,18,30,43
0.800,1.171,49,mid_age,M,0,18,30,42,18,30,43
0.275,-0.797,28,young,F,1,18,30,42,18,30,43
0.225,-0.984,26,young,F,1,18,30,42,18,30,43
0.475,-0.047,36,mid_age,F,1,18,30,42,18,30,43
0.650,0.609,43,mid_age,F,1,18,30,42,18,30,43
0.200,-1.078,25,young,F,1,18,30,42,18,30,43
0.575,0.328,40,mid_age,F,1,18,30,42,18,30,43
0.225,-0.984,26,young,F,1,19,30,42,19,30,43
0.725,0.890,46,mid_age,M,0,19,30,42,19,30,43
0.825,1.264,50,mid_age,F,1,19,30,42,19,30,43
0.300,-0.703,29,young,M,0,19,30,42,19,30,43
0.875,1.452,52,mid_age,F,1,19,30,42,19,30,43
0.225,-0.984,26,young,M,0,19,30,42,19,30,43
0.600,0.421,41,mid_age,M,0,19,30,42,19,30,43
0.100,-1.452,21,young,F,1,19,30,42,19,30,43
0.200,-1.078,25,young,F,1,19,30,42,19,30,43
0.500,0.047,37,mid_age,M,0,19,30,42,19,30,43
0.225,-0.984,26,young,M,0,19,30,42,19,31,43
0.400,-0.328,33,young,M,0,19,30,42,19,31,43
0.175,-1.171,24,young,M,0,19,30,42,19,31,43
0.750,0.983,47,mid_age,F,1,19,30,42,19,31,43
0.250,-0.890,27,young,F,1,19,30,42,19,31,43
0.100,-1.452,21,young,M,0,19,30,42,19,31,43
0.125,-1.359,22,young,M,0,19,30,42,19,31,43
0.275,-0.797,28,young,M,0,19,30,42,19,31,43
0.100,-1.452,21,young,F,1,19,30,42,19,31,43
0.675,0.702,44,mid_age,M,0,19,30,42,19,31,43
0.800,1.171,49,mid_age,F,1,19,30,42,19,31,43
0.850,1.358,51,mid_age,F,1,19,30,42,19,31,43
0.275,-0.797,28,young,F,1,19,30,42,19,31,43
0.325,-0.609,30,young,F,1,19,30,42,19,31,43
0.475,-0.047,36,mid_age,M,0,19,30,42,19,31,43
0.975,1.826,56,mature,M,0,19,30,42,19,31,44
0.300,-0.703,29,young,M,0,19,30,42,19,31,44
0.425,-0.234,34,young,M,0,19,30,42,19,31,44
0.725,0.890,46,mid_age,M,0,19,30,42,19,31,44
